model_id,component_scope,slice_index_a,slice_index_b,pair_index,component_index,red_px,blue_px,purple_px,combined_px,red_area,blue_area,purple_area,combined_area,rp_contact_length,bp_contact_length,combined_perimeter_length,mass_weight_area,physical_weight_volume,mass_orientation,thickness_sqrt_red_purple,thickness_area_red_purple,thickness_equiv_diameter_red_purple,pa_current_red_purple,pa_pixel_unit_red_purple,leff_contact_sum,leff_change_area_over_contact,leff_combined_area_over_perimeter,angle_current_2h_contact_sum,angle_h_contact_sum,angle_h_change_area_over_contact,angle_h_combined_area_over_perimeter,curvature_current_contact_sum_over_2h,curvature_area_over_h_contact_sum,curvature_area_over_h_change_contact,curvature_area_over_h_perimeter_leff,connectivity,min_component_pixels
F1,overlay_union,1,2,1,2,0,3038,1400,4438,0.0,4.8608,2.24,7.1008000000000004,0.0,7.04,11.256568541526795,4.670400000000001,0.23352000000000006,0.4796163069544364,1.4966629547095767,2.24,1.688803298257901,3.142857142857143,0.12571428571428572,0.6904545454545454,0.6904545454545454,0.6308139086795697,8.240966619166525,4.141904718910595,4.141904718910595,4.531942044807696,6.904545454545454,140.8,140.8,154.11201094708608,8,2
F1,overlay_union,1,2,1,3,0,2376,0,2376,0.0,3.8016,0.0,3.8016,0.0,0.0,10.193137083053589,1.9008,0.09504000000000001,0.0,0.0,0.0,,,,,,0.3729568207534734,,,,7.635759731303024,,,,203.86274166107177,8,2
F1,overlay_union,1,2,1,4,0,288,4391,4679,0.0,0.46080000000000004,7.025600000000001,7.486400000000001,0.0,11.200000000000001,11.52,7.256000000000001,0.36280000000000007,0.9682469680264608,2.6505848411246906,7.025600000000001,2.99086471534427,1.5941698929628787,0.06376679571851515,0.04114285714285714,0.04114285714285714,0.6498611111111112,67.63633398452653,50.55049978958295,50.55049978958295,4.399641759452491,0.41142857142857137,224.0,224.0,14.1814917717461,8,2
F1,overlay_union,1,2,1,5,0,3016,1400,4416,0.0,4.8256000000000006,2.24,7.065600000000001,0.0,6.32,11.200000000000001,4.652800000000001,0.23264000000000007,0.4814305364511691,1.4966629547095767,2.24,1.688803298257901,3.142857142857143,0.12571428571428572,0.7635443037974684,0.7635443037974684,0.6308571428571429,7.46145550490797,3.7466124345677754,3.7466124345677754,4.531632753447722,7.635443037974683,126.39999999999999,126.39999999999999,152.98550724637684,8,2
F1,overlay_union,1,2,1,6,0,2395,0,2395,0.0,3.8320000000000003,0.0,3.8320000000000003,0.0,0.0,10.193137083053589,1.9160000000000001,0.09580000000000001,0.0,0.0,0.0,,,,,,0.37593921957263,,,,7.575890105747859,,,,203.86274166107177,8,2
F1,overlay_union,1,2,1,7,0,240,4436,4676,0.0,0.384,7.0976,7.4816,0.0,9.52,11.553137083053588,7.2896,0.36448,0.9736611062335382,2.664132128855474,7.0976,3.006151192590335,1.5892696122633,0.06357078449053201,0.040336134453781515,0.040336134453781515,0.6475816867934672,68.03275659318712,51.106093847284264,51.106093847284264,4.415066944800462,0.40336134453781514,190.39999999999998,190.39999999999998,11.859507698600774,8,2
F1,overlay_union,1,2,1,8,0,3062,1400,4462,0.0,4.8992,2.24,7.139200000000001,0.0,7.04,11.28,4.6896,0.23448000000000002,0.47765267826680313,1.4966629547095767,2.24,1.688803298257901,3.142857142857143,0.12571428571428572,0.6959090909090909,0.6959090909090909,0.6329078014184398,8.177250740296904,4.109552074517248,4.109552074517248,4.517010856669242,6.959090909090909,140.8,140.8,154.8155983863738,8,2
F1,overlay_union,1,2,1,9,0,2376,0,2376,0.0,3.8016,0.0,3.8016,0.0,0.0,10.193137083053589,1.9008,0.09504000000000001,0.0,0.0,0.0,,,,,,0.3729568207534734,,,,7.635759731303024,,,,203.86274166107177,8,2
F1,overlay_union,1,2,1,10,0,288,4391,4679,0.0,0.46080000000000004,7.025600000000001,7.486400000000001,0.0,11.200000000000001,11.52,7.256000000000001,0.36280000000000007,0.9682469680264608,2.6505848411246906,7.025600000000001,2.99086471534427,1.5941698929628787,0.06376679571851515,0.04114285714285714,0.04114285714285714,0.6498611111111112,67.63633398452653,50.55049978958295,50.55049978958295,4.399641759452491,0.41142857142857137,224.0,224.0,14.1814917717461,8,2
F1,overlay_union,1,2,1,11,0,3016,1400,4416,0.0,4.8256000000000006,2.24,7.065600000000001,0.0,6.32,11.200000000000001,4.652800000000001,0.23264000000000007,0.4814305364511691,1.4966629547095767,2.24,1.688803298257901,3.142857142857143,0.12571428571428572,0.7635443037974684,0.7635443037974684,0.6308571428571429,7.46145550490797,3.7466124345677754,3.7466124345677754,4.531632753447722,7.635443037974683,126.39999999999999,126.39999999999999,152.98550724637684,8,2
