model_id,slice_index,source_sha256,replay_hash,expected_hash,exact,evidence
C1,400,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,bdea690ce1d428f6e042cfc0d623207d8b14c728dd9c4c4f624ea5c7faa4b4aa,bdea690ce1d428f6e042cfc0d623207d8b14c728dd9c4c4f624ea5c7faa4b4aa,True,IMSTL-006 trace packedbits
C1,600,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,17b419ee83bda47618cb0a2d7e2716f7ba374c90c64090b89e8bf6e26fedad5a,17b419ee83bda47618cb0a2d7e2716f7ba374c90c64090b89e8bf6e26fedad5a,True,IMSTL-006 trace packedbits
C1,700,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,3f5c6a8b5884a377ab3841e000273ac96a026259505aede1e043c9cae8b4c32e,3f5c6a8b5884a377ab3841e000273ac96a026259505aede1e043c9cae8b4c32e,True,IMSTL-006 trace packedbits
C1,799,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,True,IMSTL-006 trace packedbits
C1,800,d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,True,IMSTL-006 trace packedbits
L1,0,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,5b11c453cff2ca77069d23aa67837b6d907494272501303b5a758ce6fccecf3f,5b11c453cff2ca77069d23aa67837b6d907494272501303b5a758ce6fccecf3f,True,IMSTL-006 trace packedbits
L1,1,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,62f33ccb65e6d2d09f81906b181cf15fa64ac30a3c8fb1684dcc9008cfc2d5b7,62f33ccb65e6d2d09f81906b181cf15fa64ac30a3c8fb1684dcc9008cfc2d5b7,True,IMSTL-006 trace packedbits
L1,100,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,e46e81a4ecbd7eaab8c0156166377178c7ad791e4d0c08c3c217a4085fe6821d,e46e81a4ecbd7eaab8c0156166377178c7ad791e4d0c08c3c217a4085fe6821d,True,IMSTL-006 trace packedbits
L1,200,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,4eaaf27357b7261921a5fc972f1ffd1a890a34675d51920c823321208f50d62f,4eaaf27357b7261921a5fc972f1ffd1a890a34675d51920c823321208f50d62f,True,IMSTL-006 trace packedbits
L1,400,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,1686ab1df495f0800082b3bf88b38a5ae220bfe658e434dd661e3be5912dde38,1686ab1df495f0800082b3bf88b38a5ae220bfe658e434dd661e3be5912dde38,True,IMSTL-006 trace packedbits
