slice_index,z_mm,foreground_pixels,png_sha256
220,10.999999999999998,227400,abba2291546aba539550bc52bc24da9b0a9ed597cf2fff73ce33360e9a533e20
221,11.049999999999997,223600,7c76e8537ab1cfae1217ce0bf1ddad81917d4880dee6c70e909d61cc5077a843
222,11.099999999999998,220400,77b02075b3d25e914d21230673d50a8af8f76b3b57af4d722cfa302fbb7d73d6
223,11.149999999999997,209800,afa862731fe0454d9041a6ba1b8376e969876748dba41f226291d56b0d2c5efb
224,11.199999999999998,204400,29147b54a08e97df72d2b2479fccbf06cd15966ed9fc2b7005fa72f234a92ded
225,11.249999999999998,198800,f8c8b1c80df4a6dce45340d74bed387ff886d26901c272646f543209ce828f9d
226,11.299999999999997,193200,d5115c3d00b4c29f8ea0de11378f7031f6d65e3a96c643108354ea5ed5056a17
227,11.349999999999998,182000,9ea48920469fb45cb0cd230e250206a7904a75bfde5660e18ed2690beb52b4e2
228,11.399999999999997,176400,9058c11f5feb7aa89ec1e89571e7e4f44ca4bb25fb10cc85a02416ebe90f7611
229,11.449999999999998,424000,b8f658a2af3374ce74a1cffd38190ddfbe18b144a90f951afac76870e0e46eea
230,11.499999999999998,418800,60d55b89f1e88f296a35ba47fa08ed8d727a72186b643b01a35693d2bd746f3d
231,11.549999999999997,409600,30563a1745352b723396701086ca6c637dfbcd6e80069d1bd4df75cb5c656f59
232,11.599999999999998,405599,f4708990c0ea3561444dccd9a891fde84f1eff4edc2d6a9b6b9a78fa0e9c6348
233,11.649999999999997,402000,412698fcdd7b2843e607918e754873430efa179491fe8d4acfbb3d16b086b2cd
234,11.699999999999998,398799,bd0ef8d544e29d53bc87273c7a8644f32f38cabdfc6d0ed520e6c53cb8d83011
235,11.749999999999998,393601,dc157149622538d2e346db68feb1eb094b38211ff157c0fa651caf57ec0295d8
236,11.799999999999997,391602,5b13d26822ff1083ca48db62a961dd0eb0ce4af72a2c40f1221e1d9ae5832037
237,11.849999999999998,390001,d351e50df1a2f04dc4e3ffacf6a72e0cfa35b6499afb78eab77118a14695de77
238,11.899999999999997,388800,ed3d322fe6b31d749978fdbbc12c34e1011dc4ec1a046a72836a888dc98fb0ee
