model_id,model_numeric_id,raw_sample_id,geometry_group,source_asset_alias,source_path,source_sheet,source_excel_row,structural_excel_row,join_key,join_status,replicate_id,direction,analysis_group_id
AI065,65,CP_Lattice_65.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,16,66,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-065
AI066,66,CP_Lattice_66.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,17,67,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-066
AI067,67,CP_Lattice_67.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,18,68,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-067
AI068,68,CP_Lattice_68.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,19,69,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-068
AI069,69,CP_Lattice_69.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,20,70,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-069
AI070,70,CP_Lattice_70.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,21,71,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-070
AI071,71,CP_Lattice_71.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,22,72,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-071
AI072,72,CP_Lattice_72.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,23,73,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-072
AI073,73,CP_Lattice_73.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,24,74,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-073
AI074,74,CP_Lattice_74.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,25,75,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-074
AI075,75,CP_Lattice_75.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,26,76,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-075
AI076,76,CP_Lattice_76.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,27,77,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-076
AI077,77,CP_Lattice_77.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,28,78,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-077
