role,ordinal,excel_col,normalized_header,dtype,nan_count,raw_value_hash,nan_mask_hash
feature,94,CY,Structural parameters: Internal Sound | Overlay images | Thickness | Std,float64,0,cbf5d98d3f6c009f824e5388385d6cb468935e142325feccf241c1289280aef5,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,95,CZ,Structural parameters: Internal Sound | Overlay images | Mass Orientation | IP,float64,0,1704eb0e06692e248e9d4e10e9e6dcae09eae09fe98d517eb4cab3e178704f0b,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,96,DA,Structural parameters: Internal Sound | Overlay images | Mass Orientation | IP-stdev,float64,0,48bbf08e6cfda1a07d6c071492ecdfbc02b169901ef135f28cc5233f1f17073a,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,97,DB,Structural parameters: Internal Sound | Overlay images | Mass Orientation | LIP,float64,0,506b86123e4cbe97c621e48dc89e2dc96b096dbc9b49d362bc2d051ab71fc078,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,98,DC,Structural parameters: Internal Sound | Overlay images | Mass Orientation | LIP-stdev,float64,0,c192910b656204bf23fe722dcab55d654d2ce8b7e7032137f27c86396642d3cb,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,99,DD,Structural parameters: Internal Sound | Overlay images | Mass Orientation | LTP,float64,0,c961b942c9a0a3c13ae7f750cdb6cec8d220c04f30538e64f5bc55f625da7c37,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,100,DE,Structural parameters: Internal Sound | Overlay images | Mass Orientation | LIP-stdev__2,float64,0,26d43496031d638d613c1e3a812779be768065d47e1ac37f21c585690aea7099,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,101,DF,Structural parameters: Internal Sound | Overlay images | Mass Orientation | AVG,float64,0,a5c1741cd74c108e2d6fd8125a09f3e7d42c48b0290d197d47b6639c584a4b49,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,102,DG,Structural parameters: Internal Sound | Overlay images | Mass Orientation | Std,float64,0,324c30428928efb591abebe5156b6cef209349863f59038299e35aa56fd4f16f,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,103,DH,Structural parameters: Internal Sound | Overlay images | Curvature | IP,float64,0,85463f0cba5642d3116a9a9352813d06b56d497359f4f2f061101a3c6079e1cc,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
